"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1386680585","Clarke County Hospital","5"
"1386689958","Professional organization","5"
"1427086826","Degen Berglund Village","3"
"1437193570","Columbia Valley Community Health Pharmacy","3"
"1437194172","Martin's Pharmacy #6402","3"
"1457396731","Medicine Shoppe","3"
"1467496653","Darien Pharmacy","3"
"1518902725","VALLEYWISE COMMUNITY HEALTH CENTER - MESA PHARMACY","3"
"1548205883","South Florida Baptist Hospital","3"
"1598708620","Hudson Hospital & Clinics Pharmacy","3"
"1609803964","Medicap Pharmacy","3"
"1609810977","TTUHSC Pharmacy","3"
"1609819804","Brooklet Drug","3"
"1619912367","Martin's Pharmacy #6488","3"
"1649216201","Martin's Pharmacy #6440","3"
"1659308872","Blue Laser Group","5"
"1669408175","Medicap Pharmacy","3"
"1770519357","Flora Drugs","3"
"1790720324","Medicine Shoppe","3"
"1801822119","Fetal and Women's Center of Arizona","3"
"1801830401","Medicine Shoppe","3"
"1811932171","Total Care Pharmacy of Okolona","3"
"1821034760","Medicine Shoppe","3"
"1841236494","Medicap Pharmacy","3"
"1851328751","Medicap Pharmacy","3"
"1881639755","Coram CVS/specialty Infusion Services","3"
"1922043694","The Medicine Shoppe Pharmacy 1501","3"
"1932144250","MIMI PHARMACY","3"
"1942236112","Whitaker Pharmacy","3"
"1982630976","Amerita","3"
"1003849365","BI-MART PHARMACY 606","3"
"1053340893","Coram CVS/Specialty Infusion Services","3"
"1053344101","Nickman's Drug #109","3"
"1053344317","BIMART PHARMACY 648","3"
"1063445328","BIMART PHARMACY 669","3"
"1073546339","BIMART PHARMACY 654","3"
"1083647341","BIMART PHARMACY 641","3"
"1093748352","BIMART PHARMACY 613","3"
"1124059480","Haines Drug","3"
"1144253402","BIMART PHARMACY 642","3"
"1154354413","BIMART PHARMACY 668","3"
"1164455424","BIMART PHARMACY 652","3"
"1174556435","BIMART PHARMACY 640","3"
"1184653388","Coram CVS/specialty Infusion Services","3"
"1184657397","Medicine Shoppe","3"
"1184657447","BIMART PHARMACY #624","3"
"1194758458","BIMART PHARMACY 610","3"
"1205865508","Coram CVS/specialty Infusion Services","3"
"1235162595","BIMART PHARMACY 636","3"
"1235168501","Boulevard Pharmacy","3"
"1245263508","BIMART PHARMACY #662","3"
"1255361168","Florence Pharmacy","3"
"1255364519","BIMART PHARMACY 653","3"
"1265465520","BIMART PHARMACY 682","3"
"1275562324","Medicap Pharmacy","3"
"1275566531","BIMART PHARMACY 622","3"
"1285667543","BIMART PHARMACY 611","3"
"1326071689","BIMART PHARMACY #626","3"
"1336172691","BIMART PHARMACY 660","3"
"1346273604","BIMART PHARMACY 651","3"
"1356371587","MEDICAL TOWER PHARMACY","3"
"1356374615","BIMART PHARMACY 637","3"
"1356374623","Dahl's Pharmacy","3"
"1366475022","Coram CVS/specialty Infusion Services","3"
"1366475626","BIMART PHARMACY #627","3"
"1376576033","Roger Lloyd Huf","5"
"1386674067","Coram CVS/specialty Infusion Services","3"
"1417980772","BIMART PHARMACY 619","3"
"1427081785","BIMART PHARMACY 658","3"
"1427081892","ST ELIZABETH'S PHARMACY","3"
"1437182797","BIMART PHARMACY 649","3"
"1447283700","BIMART PHARMACY 635","3"
"1457380206","Coram CVS/Specialty Infusion Services","3"
"1457384711","BIMART PHARMACY 620","3"
"1467485722","BIMART PHARMACY #609","3"
"1487687653","Medicine Shoppe","3"
"1508899865","BIMART PHARMACY 605","3"
"1518990878","BI-MART PHARMACY 657","3"
"1528091162","QOLMEDS","3"
"1528091881","BIMART PHARMACY 647","3"
"1538192893","BIMART PHARMACY 634","3"
"1548293806","BIMART PHARMACY 617","3"
"1558394817","BIMART PHARMACY 602","3"
"1558394981","Albert Patrick Brooks MD","3"
"1568491413","MEDICINE SHOPPE","3"
"1609809961","BIMART PHARMACY 659","3"
"1619900974","BIMART PHARMACY 646","3"
"1629001987","BIMART PHARMACY 633","3"
"1639102999","BIMART PHARMACY 616","3"
"1649203902","BI MART PHARMACY #601","3"
"1659300812","Bashas', Food City, AJ's United Drugs","3"
"1659300861","Coram CVS/specialty Infusion Services","3"
"1699708958","BIMART PHARMACY #665","3"
"1700819067","BIMART PHARMACY 645","3"
"1710910070","BIMART PHARMACY 632","3"
"1720011083","BIMART PHARMACY 656","3"
"1730112095","BIMART PHARMACY 604","3"
"1770516643","Medtown Pharmacy","3"
"1770516973","Corley Drugs #1","3"
"1780614461","Coram CVS/specialty Infusion Services","3"
"1790718054","BIMART PHARMACY 655","3"
"1801829163","BIMART PHARMACY 630","3"
"1811920176","BIMART PHARMACY 615","3"
"1821021189","BIMART PHARMACY 612","3"
"1831128552","Medicine Shoppe","3"
"1871526137","BIMART PHARMACY 621","3"
"1881627149","BIMART PHARMACY #671","3"
"1891728150","BIMART PHARMACY 643","3"
"1891729349","Medicine Shoppe","3"
"1902839269","BIMART PHARMACY 607","3"
"1912930272","BIMART PHARMACY 608","3"
"1952335937","Van Mol Pharmacy","3"
"1952335937","VanMol Family Pharmacy","3"
"1962435016","Nickman's Drug #119","3"
"1962435156","Center City Pharmacy","3"
"1962435222","BIMART PHARMACY 650","3"
"1962436592","Coram CVS/specialty Infusion Services","3"
"1972536233","BIMART PHARMACY 670","3"
"1982637245","BIMART PHARMACY 639","3"
"1992738256","BIMART PHARMACY #629","3"
"1013940600","Gaughn's Drug Store","3"
"1013942077","BIMART PHARMACY 603","3"
"1073532180","Orchard Hills Compounding","3"
"1104845106","BioScrip Infusion Services","3"
"1154340750","BRACKIN DRUGS","3"
"1215954144","Bi-Mart Pharmacy #618","3"
"1235156050","The Medicine Shoppe Pharmacy","3"
"1255358800","Visalia Pediatrics & Associates, Inc.","3"
"1285651984","Bottineau Clinic Pharmacy","3"
"1285652420","Physicians' Medical Group","5"
"1326069238","Nephrology and Hypertension","3"
"1427073931","THE MEDICINE SHOPPE","3"
"1427075944","Medicap Pharmacy","3"
"1437174349","Mission Urgent Care, Inc.","3"
"1437177672","NY College of Podiatric Medicine","5"
"1447284666","Medicap Pharmacy","3"
"1447285937","Robichaux's Pharmacy","3"
"1457370215","Family Value Pharmacy","3"
"1477570166","Gibson Family Pharmacy, A Member of the Medicine Shoppe Family","3"
"1578584504","medicine shoppe#428","3"
"1578589073","Coram Specialty Infusion Services, an Apria Healthcare Company","3"
"1598781957","Martin's Pharmacy #6493","3"
"1639194988","QOL MEDS","3"
"1649297466","Medicine Shoppe","3"
"1770509218","Coram CVS/specialty Infusion Services","3"
"1780604215","BROADWAY PHARMACY","3"
"1790701068","Family Value Pharmacy","3"
"1811920499","PHARMERICA","3"
"1861419574","The Medicine Shoppe","3"
"1922031244","Scott's Pharmacy # 2","3"
"1922033984","BIMART PHARMACY #663","3"
"1942225586","BioScrip Infusion Services","3"
"1942234448","Coram CVS/specialty Infusion Services","3"
"1033125422","NORTHWEST HEALTH VENTURES INC","4"
"1063432672","Coram CVS/specialty Infusion Services","3"
"1073537486","BI MART PHARMACY #673","3"
"1104830199","Parkway Drugs","3"
"1104848050","Ashburn Vision Source","3"
"1144241332","Parkway Drugs","3"
"1164443982","CURTIS PHARMACY","3"
"1174544126","RXD Medication Services","3"
"1194746271","FILLMORE PHARMACY","3"
"1225043672","D&S Drug Mart #5","3"
"1285649830","Medicap Pharmacy","3"
"1316968993","Shop-n-Save Food & Drug","3"
"1346255999","MEDICINE SHOPPE PHARMACY","3"
"1366463952","Mittman Pharmacy","3"
"1386667640","Medicine Shoppe","3"
"1396759445","The Medicine Shoppe","3"
"1396764213","Corley Drugs #4","3"
"1396765269","MEDICAP PHARMACY","3"
"1407879372","O'Steens Pharmacy","3"
"1437170875","Sunray Drug Store","3"
"1467471995","Hollywood Presbyterian Medical Center","3"
"1467474411","DeSoto Drug Store","3"
"1508889247","Medicine Shoppe","3"
"1568478980","NORTHWEST HEALTH VENTURES INC","4"
"1568485431","MEDICINE SHOPPE","3"
"1609899590","Coram CVS/specialty Infusion Services","3"
"1649286808","Total Care Pharmacy #6","3"
"1679595680","PHYSICIANS SURGICAL CENTER","3"
"1720093461","LOCKPORT APOTHECARY","3"
"1780607812","Kennedy Dental Group","5"
"1811918717","Victor N. Alvarado MD INC.","4"
"1861412777","alamo navajo health center","3"
"1902829146","Pharmacy","3"
"1912911561","NORTHWEST HEALTH VENTURES INC","4"
"1912920059","Advanced Dental Solutions","3"
"1922028380","Hall's Pharmacy","3"
"1932122405","MEDICINE SHOPPE PHARMACY","3"
"1942216361","Mayo Clinic Store Westgate","3"
"1952322513","Medicine Shoppe","3"
"1003826694","Coram CVS/specialty Infusion Services","3"
"1043220882","FARMACIA LA MILAGROSA","3"
"1174537484","HEALTH SYSTEM PHARMACY","3"
"1346250610","Coram CVS/specialty Infusion Services","3"
"1346251113","Ken's Discount Pharmacy","3"
"1346255932","CARMICHAELS PHARMACY IHP","3"
"1346258324","Professional Corporation","5"
"1366451718","MEDICINE SHOPPE","3"
"1366457780","HENRY'S PHARMACY","3"
"1407861701","Walgreens #15994","3"
"1417965740","Dixon Discount Pharmacy, Gloster Discount Pharmacy","3"
"1508876665","Neighborhood Doctor","3"
"1538173331","NORTHWEST HEALTH VENTURES, INC","4"
"1568471316","The Medicine Shoppe","3"
"1588672562","Medical Center Pharmacy","3"
"1609885375","Harris Teeter Pharmacy","5"
"1619986098","Valu-Med Pharmacy","3"
"1649289067","KINGS PHARMACY","3"
"1659386977","Walgreens #21144","3"
"1720096266","Toledo IV Care","3"
"1750396107","The Medicine Shoppe","3"
"1811908668","Peace Health Pharmacy Hilyard","5"
"1902812332","Walgreens #16514","3"
"1992714950","Medicine Shoppe","3"
"1033121959","Bashas' United Drugs, Food City United Drugs, AJ's United Drugs","3"
"1063527216","Nudos Pharmacy","3"
"1114936622","Harris Teeter Pharmacy","5"
"1114937448","Welfley Pharmacy Inc","3"
"1134130719","MEDICINE SHOPPE","3"
"1134232093","Centura Senior Life Center Pharmacy","5"
"1144334889","Medicap Pharmacy","3"
"1174534671","EANNELLI PHARMACY","3"
"1215948724","Medicap Pharmacy","3"
"1225049729","Medicine Shoppe","3"
"1235242983","Harris Teeter Pharmacy","5"
"1275646945","Harris Teeter Pharmacy","5"
"1285644252","Jones Drugs","3"
"1306951785","MedNow Pharmacy #4","3"
"1316958812","MEDICINE SHOPPE","3"
"1326151432","Medicap Pharmacy","3"
"1336158385","Gold Hill Pharmacy","3"
"1346353018","Harris Teeter Pharmacy","5"
"1356455414","Hometown Pharmacy","3"
"1407867906","MEDICINE SHOPPE PHARMACY","3"
"1417060179","Harris Teeter Pharmacy","5"
"1437160637","Jeffrey Goodman Special Care Pharmacy","3"
"1457464463","Medicap Pharmacy","3"
"1477668846","MedNow Fruitland Pharmacy","3"
"1497767966","Coram CVS/specialty Infusion Services","3"
"1508970849","Medical Center Pharmacy","3"
"1508971987","MedNow Pharmacy #2","3"
"1518071786","Valu Rite Pharmacy","3"
"1518979574","B & R Health Mart","5"
"1528173903","MedNow Eagle Pharmacy","3"
"1558474221","Harris Teeter Pharmacy","5"
"1568474716","Coram CVS/specialty Infusion Services","3"
"1578574133","VILLAGE MARKET","3"
"1588674808","Ronald A Bryant DDS MSD PS","4"
"1588777288","St. Francis Health Center Pharmacy","3"
"1598773566","University Compounding Pharmacy","3"
"1598774002","Harris Teeter Pharmacy","5"
"1609980416","Medicine Shoppe","3"
"1629181383","Harris Teeter Pharmacy","5"
"1649283904","East Retail Pharmacy","3"
"1659484319","Harris Teeter Pharmacy","5"
"1699785048","Dahl's Pharmacy","5"
"1699786665","MEDICAL PARK UNITED DRUG","4"
"1700999034","Medical Center Pharmacy","3"
"1750494670","SARTIN'S DISCOUNT DRUGS","3"
"1811908304","Spence's Medical Center Pharmacy","3"
"1891808127","Medical Center Pharmacy","3"
"1912011248","Norden Drugs","3"
"1912917550","Coram CVS/specialty Infusion Services","3"
"1922011303","Oxnard Pharmacy","3"
"1942313606","Harris Teeter Pharmacy","5"
"1952312043","Children's Hospital Central California","4"
"1013022045","MEDICAP PHARMACY","3"
"1013025741","CAMPAGNA'S PHARMACY","3"
"1033224068","Georgetown Drug Company","3"
"1033224068","MEDICAP PHARMACY","3"
"1043329261","Macey's Pharmacy #2","3"
"1053426098","MEDICINE SHOPPE","3"
"1053426098","Port Jervis Pharmacy","3"
"1073620274","Monterey Psychiatric Center","3"
"1124031562","WELLINGTON SQUARE PHARMACY","3"
"1194830117","MEDICINE SHOPPE","3"
"1215044912","CAPROCK PHARMACY SLATON","3"
"1225144108","Riesbeck's Pharmacy","3"
"1235245051","Med-Equip Homecare Pharmacy #3","3"
"1295840239","MEDICINE SHOPPE","3"
"1306951330","MEDICINE SHOPPE","3"
"1316052350","MEDICINE SHOPPE","3"
"1316053622","MEDICINE SHOPPE","3"
"1386759306","MEDICINE SHOPPE","3"
"1407961436","THE PHARMACY EXPRESS","3"
"1407961444","MEDICINE SHOPPE","3"
"1407962400","Medicap Pharmacy","3"
"1427164730","MEDICINE SHOPPE 1193","3"
"1437161999","Coram CVS/specialty Infusion Services","3"
"1437264462","MEDICINE SHOPPE","3"
"1467567495","Medicine Shoppe 1194","3"
"1477668408","AuBurn Pharmacy #168","3"
"1487769428","MEDICINE SHOPPE","3"
"1497860423","MEDICINE SHOPPE","3"
"1497860423","Wallace Pharmacy","3"
"1528176377","Carole Bekkenhuis-Johnson PMHNP LLC","3"
"1578671673","EVERETTS PHARMACY SONORA","3"
"1578678512","Medicine Shoppe","3"
"1598870537","THE MEDICINE SHOPPE","3"
"1609889245","Medical Cliic of North Texas, P.A.","3"
"1609989219","Harris Teeter Pharmacy","5"
"1629183652","THE MEDICINE SHOPPE","3"
"1629184957","Coram CVS/specialty Infusion Services","3"
"1649385568","Stepp-Saver Pharmacy","3"
"1659487742","The Pharmacy","3"
"1669587606","MEDICINE SHOPPE","3"
"1679680763","CVS Pharmacy #11063","3"
"1730295650","Coram CVS/specialty Infusion Services","3"
"1730297193","CVS Pharmacy #11251","3"
"1740395771","MEDICAP PHARMACY","3"
"1740398817","THE MEDICINE SHOPPE","3"
"1740398825","THE MEDICINE SHOPPE","3"
"1750496287","Worthington Dental Alternatives","3"
"1760597702","MEDICINE SHOPPE","3"
"1760597793","MEDICAP PHARMACY","3"
"1780792952","THE MEDICINE SHOPPE","3"
"1790890713","MEDICINE SHOPPE","3"
"1790890747","MEDICINE SHOPPE","3"
"1801904032","THE MEDICINE SHOPPE","3"
"1811003338","CORNER DRUG STORE","3"
"1831204874","Medicap Pharmacy","3"
"1851406888","MEDICINE SHOPPE #517","3"
"1861507808","MEDICAP PHARMACY","3"
"1881709814","MEDICINE SHOPPE","3"
"1902914146","THE MEDICINE SHOPPE","3"
"1922113968","MEDICAP PHARMACY","3"
"1932214962","MEDICINE SHOPPE","3"
"1942315981","MEDICINE SHOPPE","3"
"1952419582","Harris Teeter Pharmacy","5"
"1972618999","Medicine Shoppe","3"
"1023125663","Airport Center Pharmacy","3"
"1023125663","CMC - Airport Center Pharmacy","3"
"1033221023","MEDICINE SHOPPE","3"
"1033221940","Medicap Pharmacy","3"
"1033228150","Dick's Pharmacy","3"
"1043321896","Lakeside Pharmacy","3"
"1063521086","Realo Discount Drugs","3"
"1063524981","MEDICINE SHOPPE","3"
"1083722151","THE MEDICINE SHOPPE","3"
"1083726095","MEDICINE SHOPPE","3"
"1104928456","Harris Teeter Pharmacy","5"
"1114037637","South Retail Pharmacy","3"
"1124130133","MEDICAP PHARMACY","3"
"1124135538","Malley's Family Pharmacy","3"
"1124136296","THE MEDICINE SHOPPE","3"
"1134237126","Medicine Shoppe","3"
"1134239536","Parkway Drugs","3"
"1164534020","MEDICINE SHOPPE","3"
"1194837021","MEDICINE SHOPPE","3"
"1205948205","MEDICINE SHOPPE","3"
"1215049226","MEDICAP Pharmacy","3"
"1225140817","dba Pharmax Pharmacy #1343","3"
"1235241241","MEDICINE SHOPPE","3"
"1235247537","Georgetown Retail Pharmacy","3"
"1255443164","Medicine Shoppe","3"
"1255443164","The Medicine Shoppe Pharmacy","3"
"1285736397","HARRIS TEETER PHARMACY #83","3"
"1295847283","MEDICINE SHOPPE","3"
"1306955539","Macey's Pharmacy #4","3"
"1316059223","MEDICINE SHOPPE","3"
"1326150327","MEDICINE SHOPPE","3"
"1336259647","Shurfine Pharmacy","3"
"1376655373","MEDICAP PHARMACY","3"
"1386746303","Harris Teeter Pharmacy","5"
"1386753549","Maceys Pharmacy #12","3"
"1396857249","MEDICINE SHOPPE","3"
"1407965650","Maceys Pharmacy #10","3"
"1417069329","MEDICINE SHOPPE","3"
"1427160340","Medicine Shoppe","3"
"1427160423","MEDICINE SHOPPE","3"
"1457453896","Bolerjack Discount Drug","3"
"1467564468","The Medicine Shoppe 1675","3"
"1487766341","dba Pharmax Pharmacy #0912","3"
"1487766481","Medicine Shoppe","3"
"1497867493","MEDICAP","3"
"1508972316","Med-Equip Pharmacy #0","3"
"1518079441","MEDICINE SHOPPE OF NEW SMYRNA B EACH","3"
"1538271127","dba Pharmax Pharmacy #1302","3"
"1538271549","MEDICINE SHOPPE","3"
"1548379753","Macey's Pharmacy #1","3"
"1568572774","MEDICINE SHOPPE #0751","3"
"1588772727","THE MEDICINE SHOPPE","3"
"1598874737","Macey's Pharmacy #6","3"
"1619085792","THE MEDICINE SHOPPE","3"
"1639287808","THE MEDICINE SHOPPE","3"
"1649372988","MEDICINE SHOPPE","3"
"1689781213","DALES PHARMACY","3"
"1699887604","MEDICAP PHARMACY","3"
"1700995636","Med-X Drug","3"
"1730281072","MEDICINE SHOPPE","3"
"1740390202","Coram CVS/specialty Infusion Services","3"
"1740392679","MEDICINE SHOPPE","3"
"1740399856","Redner's Pharmacy #46","3"
"1750499919","THE MEDCIINE SHOPPE","3"
"1780796482","Family Eyewear Gallery","3"
"1780796615","WELLS SPECIALTY PHARMACY","3"
"1801904743","PRESCRIPTION CENTRE","3"
"1821191974","MEDICINE SHOPPE","3"
"1831205442","CMC Rx Huntersville","3"
"1851403851","MEDICINE SHOPPE","3"
"1891801627","Med-Equip Pharmacy #7","3"
"1912009259","Medicap Pharmacy","3"
"1952418725","Coram Specialty Infusion Services, an Apria healthcare Company","3"
"1962510115","THE MEDICINE SHOPPE","3"
"1003928524","Harris Teeter Pharmacy","5"
"1013011675","Harris Teeter Pharmacy","5"
"1023120037","Medicine Shoppe","3"
"1023120953","Medicine Shoppe","3"
"1033213442","Harris Teeter Pharmacy","5"
"1043312077","Harris Teeter Pharmacy","5"
"1073625679","dba Pharmax Pharmacy #9907","3"
"1093817025","Harris Teeter Pharmacy","5"
"1104937705","Hallmark Pharmacy","3"
"1114020542","Ville Platte Pediatrics Corp","5"
"1114029311","Harris Teeter Pharmacy","5"
"1124122791","CMC Rx Gateway","3"
"1124125547","BAYSTATE PHARMACY","3"
"1124130034","MEDICINE SHOPPE","3"
"1134226178","Coram CVS/specialty Infusion Services","3"
"1134231145","MEDICAP","3"
"1154433167","Everetts Villa Pharmacy","3"
"1164524146","On Call Medical Pharmacy","3"
"1164526307","Harris Teeter Pharmacy","5"
"1164527933","Bellingham Ambulatory Surgery Center","3"
"1184727034","Harris Teeter Pharmacy","5"
"1194829523","Harris Teeter Pharmacy","5"
"1194837179","Medicap Pharmacy","3"
"1205948759","Harris Teeter Pharmacy","5"
"1215031877","THE MEDICINE SHOPPE","3"
"1235240706","Harris teeter Pharmacy","5"
"1255434809","Harris Teeter Pharmacy","5"
"1275636755","Harris Teeter Pharmacy","5"
"1275637910","Oregon State Hospital Pharmacy","3"
"1275637910","Oregon State Hospital Salem","3"
"1285736223","Harris Teeter Pharmacy","5"
"1295839843","Coram Specialty Infusion Services, an Apria Healthcare Group","3"
"1295847119","Jernegan's Health Mart Pharmacy","3"
"1306948021","Peoples Health Center Pharmacy","3"
"1306958251","MEDICINE SHOPPE","3"
"1316041486","Harris Teeter Pharmacy","5"
"1346343936","South Chicago Orthopedics","4"
"1346352358","Springboro Pharmacy","3"
"1356445845","KabaFusion NJ","3"
"1366540007","Imhoff Eye Center","3"
"1366546699","Harris Teeter Pharmacy","5"
"1366553737","Harris Teeter Pharmacy","5"
"1386756393","MEDICINE SHOPPE","3"
"1447356399","Gateway Health Mart Pharmacy North","3"
"1447356399","Gateway Pharmacy North","3"
"1447362454","MEDICINE SHOPPE","3"
"1467555300","Harris Teeter Pharmacy","5"
"1487756870","Harris Teeter Pharmacy","5"
"1497867345","MEDICINE SHOPPE","3"
"1518061654","The Medicine Shoppe","3"
"1528160611","Harris Teeter Pharmacy","5"
"1558473157","PHARMAX PHARMACY #1365","3"
"1558473157","dba Pharmax Pharmacy #1365","3"
"1568566990","Harris Teeter Pharmacy","5"
"1568574911","Medicine Shoppe #1938","3"
"1588766968","UCHSC Hemophilia Center","3"
"1588766992","MedNow Pharmacy","3"
"1588768816","Harris Teeter Pharmacy","5"
"1588776405","MEDICINE SHOPPE # 1685","3"
"1588776496","MEDICINE SHOPPE","3"
"1619089604","FLORENCE OWL REXALL DRUGS","3"
"1629180567","MEDICAP PHARMACY","3"
"1639271745","Harris Teeter Pharmacy","5"
"1649374943","CIHA Pharmacy","3"
"1649382656","Family Pharmacy Plus","3"
"1659475085","Harris Teeter Pharmacy","5"
"1679685671","Medicine Shoppe","3"
"1689777534","Harris Teeter Pharmacy","5"
"1699877092","Harris Teeter Pharmacy","5"
"1700989878","MEDICINE SHOPPE","3"
"1700996774","CHOICE PHARMACY","3"
"1730284845","Medicine Shoppe","3"
"1730285545","Stanford Drug","3"
"1730291394","Medicine Shoppe","3"
"1750488797","The Medicine Shoppe # 589","3"
"1760586929","Carmichael's Pharmacy","3"
"1760594675","Medicine Shoppe","3"
"1760594774","MEDICINE SHOPPE","3"
"1770685158","Harris Teeter Pharmacy","5"
"1770695785","MEDICINE SHOPPE","3"
"1780787747","Capalina Clinic","3"
"1780796797","Medicine Shoppe","3"
"1821190463","TD Pharmacy","3"
"1821191792","Harris Teeter Pharmacy","5"
"1831293265","Harris Teeter Pharmacy","5"
"1841302767","Medicine Shoppe 0605,Ltd","3"
"1841302858","MEDICINE SHOPPE","3"
"1841392370","Medicine Shoppe","3"
"1841392701","The Medicine Shoppe","3"
"1861599169","Hematology-Oncology","3"
"1861599896","Coram CVS/specialty Infusion Services","3"
"1871696708","Harris Teeter Pharmacy","5"
"1881796993","Harris Teeter Pharmacy","5"
"1891807806","Aries Pharmacy","3"
"1902909831","Harris Teeter Pharmacy","5"
"1912003393","ADVANCED HOME CARE INC","3"
"1922100973","Harris Teeter Pharmacy","5"
"1922105287","STJOSEPH MERCY PROFESSIONAL PHARMACY","3"
"1932207750","Glen Ellyn Pharmacy Health Care Shoppes","3"
"1932211927","MEDICINE SHOPPE","3"
"1952405664","Eastern Oregon Psychiatric Center Pharmacy","3"
"1952413965","MEDICINE SHOPPE","3"
"1962506543","Harris Teeter Pharmacy","5"
"1962514547","Pharmax Pharmacy #1108","3"
"1962514885","Medicine Shoppe","3"
"1972615979","MEDICINE SHOPPE","3"
"1982706057","Harris Teeter Pharmacy","5"
"1982716833","MEDICINE SHOPPE","3"
"1013013408","Obstetrics & Gynecology of Ruston","3"
"1013014638","Diabetic Care Services & Pharmacy","3"
"1073614863","Myers Wyse Center for the Eye","3"
"1134228745","Coram CVS/specialty Infusion Services","3"
"1144321076","The Prescription Shop","4"
"1154420271","Sheldon's Express Pharmacy","3"
"1184723884","Coram CVS/specialty Infusion Services","3"
"1194822379","Georgetown Pharmacy","3"
"1194826198","steigner pharmacy","3"
"1205927571","Gateway Pharmacy South","3"
"1225136575","Homescripts","3"
"1245335959","Medi-Save Pharmacy of Mountain Home","3"
"1245339993","Thomson Snyder Drug","3"
"1255432795","Medicine Shoppe","3"
"1306941927","Medicine Shoppe","3"
"1316046915","Coram CVS/specialty Infusion Services","3"
"1326148271","CPMG-Columbia Park Pharmacy","5"
"1366540239","Genoa Healthcare","3"
"1407955297","Hina Drugs","3"
"1417055336","Hirsh Health Center","5"
"1417055633","Harris Teeter Pharmacy","5"
"1417056698","CPMG-Andover Pharmacy","5"
"1447358643","J & J Pharmacy","3"
"1457457533","Tallent Drug Company","3"
"1467543777","Thomas Pharmacy","3"
"1477650828","Parker's of Peachtree","3"
"1477654341","Manteca Obstetrics and Gynecology Medical Group","3"
"1487759635","Ross Drug","3"
"1508964800","Medicine Shoppe","3"
"1508965534","Prescriptions Plus Pharmacy","3"
"1518066141","DERMATOLOGY ASSOICATES MEDCIAL GROUP","3"
"1578663308","Shurfine Pharmacy- Spry","3"
"1598856411","Medicine Shoppe","3"
"1609976257","Medicine Shoppe","3"
"1609977115","Harris Teeter Pharmacy","5"
"1639277957","Student Health Center Pharmacy","3"
"1649370396","CPMG-Brooklyn Park Pharmacy","5"
"1679671267","The Medicine Shoppe","3"
"1679672828","Larry E Landers DDS","4"
"1699874628","BAYSTATE MEDICAL CENTER INC","3"
"1700987294","GREENBRIER PHARMACY AND FOUNTAIN","3"
"1710085311","Wichita County Pharmacy","3"
"1720187362","Coram CVS/specialty Infusion Services","3"
"1750480604","United MedManagement Inc","4"
"1750489332","A V Pain Medical Clinic","3"
"1760582928","UMMC Pharmacy at Redwood","3"
"1760583579","Akins Pharmacy","3"
"1770682791","BAYSTATE PHARMACY","3"
"1780784090","The Apothecary Shop","3"
"1861597411","BAYSTATE PHARMACY","3"
"1871699611","University Pediatrics & Internal Medicine","3"
"1881790038","United MedManagement Inc","4"
"1881799427","BAYSTATE PHARMACY","3"
"1891892485","Briscoe Pharmacy","3"
"1912007501","Corner Drug","3"
"1922107663","Medicap Pharmacy","3"
"1922109511","Family Physicians Inc, A Medical Corporation","5"
"1942309091","Dr Leroy S Neumann and Dr Fredric I Neumann","3"
"1952407314","Amsterdam Memorial Pharmacy","5"
"1013001049","Harris Teeter Pharmacy","5"
"1013001411","Buy Rite Drugs #13","3"
"1023100047","Harris Teeter Pharmacy","5"
"1023101797","Harris Teeter Pharmacy","5"
"1023102332","Medicine Shoppe","3"
"1043302292","UW Health East Pharmacy","5"
"1043303449","Q & T Pharmacy","3"
"1063504322","UW Health Pharmacy Services","3"
"1063505774","Southern Pharmacy Services","3"
"1063506475","Medicap Pharmacy","3"
"1073608204","THE BEATRICE WOMEN'S AND CHILDREN'S CLINIC","5"
"1104910025","Medicine Shoppe","3"
"1104918325","Univeristy Station Remote Dispensing Services","5"
"1104919703","Medicine Shoppe","3"
"1114011426","Medicine Shoppe","3"
"1124112537","Medicine Shoppe Pharmacy","3"
"1124113253","PROFESSIONAL PHARMACY","3"
"1124114848","Harris Teeter Pharmacy","5"
"1134212434","Harris Teeter Pharmacy","5"
"1134214125","Westfield Medical Group","3"
"1144312059","Harris Teeter Pharmacy","5"
"1164514196","Moss Pharmacy","3"
"1174615447","Lawrence B. Colen Plastic Surgery","4"
"1174616221","Howard's Drug","3"
"1174617583","Medicap Pharmacy","3"
"1184716011","Harris Teeter Pharmacy","5"
"1184718595","Medicap Pharmacy","3"
"1184718876","Clinic Pharmacy","5"
"1194819508","Medicine Shoppe","3"
"1205920519","Medicine Shoppe","3"
"1205920618","MEDICAP PHARMACY","3"
"1235223645","Medicap Pharmacy","3"
"1245322486","Penrose Professional Pharmacy","3"
"1245324482","The Medicine Shoppe","3"
"1245325349","Tolbert J. Small, M.D.","3"
"1255424859","Pri-Med Care","3"
"1265525216","Colima Care","3"
"1275623811","BEVERLY PHARMACY","3"
"1285726372","Harris Teeter Pharmacy","5"
"1285728691","MEDICINE SHOPPE PHARMACY","3"
"1295827418","Medicine Shoppe","3"
"1295829117","Harris Teeter Pharmacy","5"
"1295829638","Lake Pharmacy- Tavares","3"
"1346332350","Harris Teeter Pharmacy","5"
"1346334943","Harris Teeter Pharmacy","5"
"1356435762","Medicap Pharmacy","3"
"1376637785","Medicine Shoppe","3"
